cidade,MANDAGUAÇU,SÃO JOSÉ DA BOA VISTA,BELA VISTA DA CAROBA,MARILENA,CRUZMALTINA,CORBÉLIA,TELÊMACO BORBA,CURITIBA,MIRADOR,GOIOERÊ
MANDAGUAÇU,0,349.903,409.457,133.551,129.891,247.925,241.476,445.158,83.908,186.884
SÃO JOSÉ DA BOA VISTA,349.928,0,639.696,571.839,313.118,599.418,180.622,301.31,433.337,512.129
BELA VISTA DA CAROBA,416.041,653.055,0,452.965,464.769,161.203,572.529,595.391,411.707,251.218
MARILENA,133.186,571.138,453.995,0,263.123,294.341,374.708,-1,-1,207.553
CRUZMALTINA,131.416,312.956,459.027,264.468,0,297.495,138.26,341.942,214.825,222.968
CORBÉLIA,255.809,600.512,162.061,294.728,304.536,0,464.014,516.232,251.475,90.985
TELÊMACO BORBA,241.718,185.017,559.459,374.77,138.686,457.051,0,243.599,325.128,403.92
CURITIBA,444.147,299.393,554.206,577.199,341.115,513.928,241.947,0,527.556,521.394
MIRADOR,83.613,433.563,407.694,83.638,213.55,251.142,325.136,528.818,0,164.354
GOIOERÊ,194.14,511.722,252.272,207.521,222.738,90.74,403.294,527.631,164.268,0
